posID,gameID,screens,passes,type,result,contested,game_clock,quarter,shot_clock,xcoord,ycoord,def_xcoord,def_ycoord,distance,shooter
68,20171103,1,2,hq,make,high,,0,8,470,168,0,0,0,12
69,20170925,0,1,fb,make,low,,0,22,236,77,238,64,13.1529,8
69,20171007,0,3,hq,oreb,med,,0,13,312,300,0,0,0,NULL
69,20171028,0,1,hq,make,med,,0,16,254,97,0,0,0,NULL
69,20171103,1,3,hq,miss,med,,0,11,81,235,0,0,0,12
70,20170925,0,1,hq,to,NULL,,0,23,0,0,0,0,0,NULL
70,20171007,0,1,hq,foul,NULL,,0,16,0,0,0,0,0,NULL
70,20171028,0,0,hq,miss,med,,0,16,228,87,0,0,0,NULL
70,20171103,0,1,fb,miss,med,,0,21,472,167,0,0,0,12
71,20170925,0,1,fb,to,NULL,,0,23,0,0,0,0,0,NULL
71,20171007,0,1,hq,make,med,,0,15,227,79,0,0,0,NULL
71,20171028,0,2,hq,make,high,,0,12,233,81,0,0,0,NULL
71,20171103,1,5,hq,to,NULL,,0,0,0,0,0,0,0,NULL
72,20170925,1,3,hq,make,low,,0,8,274,67,269,61,7.81025,13
72,20171007,0,3,hq,foul,med,,0,14,386,264,0,0,0,NULL
72,20171028,0,1,fb,make,high,,0,20,228,82,0,0,0,NULL
72,20171103,2,7,hq,make,low,,0,2,226,92,0,0,0,6
73,20170925,1,1,hq,foul,high,,0,7,329,75,289,53,45.6508,8
73,20171007,0,3,hq,make,med,,0,10,257,85,0,0,0,NULL
73,20171028,1,2,hq,miss,med,,0,6,23,160,0,0,0,NULL
73,20171103,0,5,fb,miss,med,,0,7,287,72,0,0,0,11
74,20170925,0,0,hq,to,NULL,,0,0,0,0,0,0,0,NULL
74,20171007,0,2,hq,to,NULL,,0,12,0,0,0,0,0,NULL
74,20171028,0,6,hq,make,high,,0,1,229,89,0,0,0,NULL
74,20171103,0,3,hq,oreb,low,,0,12,144,283,0,0,0,10
75,20170925,0,2,fb,to,NULL,,0,21,0,0,0,0,0,NULL
75,20171007,1,4,hq,miss,high,,0,10,277,76,0,0,0,NULL
75,20171028,0,0,fb,make,high,,0,22,245,91,0,0,0,NULL
75,20171103,0,2,fb,make,low,,0,19,287,72,0,0,0,11
76,20170925,0,3,hq,to,NULL,,0,15,0,0,0,0,0,NULL
76,20171007,1,1,hq,make,low,,0,12,421,240,0,0,0,NULL
76,20171028,0,1,hq,miss,high,,0,12,260,97,0,0,0,NULL
76,20171103,2,5,hq,foul,high,,0,12,0,0,0,0,0,NULL
77,20170925,0,2,hq,miss,med,,0,8,241,79,253,69,15.6205,8
77,20171007,0,1,hq,foul,NULL,,0,14,271,81,0,0,0,NULL
77,20171103,0,0,hq,make,high,,0,13,280,76,0,0,0,11
78,20170925,0,1,fb,make,med,,0,21,268,73,268,63,10,13
78,20171007,1,0,hq,make,med,,0,20,258,91,0,0,0,NULL
78,20171103,1,2,hq,oreb,med,,0,16,473,188,0,0,0,8
79,20170925,0,3,hq,miss,med,,0,17,108,256,133,223,41.4005,NULL
79,20171007,0,3,hq,foul,NULL,,0,10,267,75,0,0,0,NULL
79,20171103,0,3,hq,miss,low,,0,3,75,236,0,0,0,NULL
80,20170925,0,2,hq,miss,high,,0,11,288,66,274,58,16.1245,5
80,20171007,0,1,hq,miss,med,,0,19,24,108,0,0,0,NULL
80,20171103,2,3,hq,miss,high,,0,12,270,124,0,0,0,6
81,20170925,0,1,fb,make,high,,0,21,278,71,274,61,10.7703,5
81,20171103,2,4,hq,miss,low,,0,9,18,50,0,0,0,8
82,20170925,0,2,hq,make,low,,0,12,227,70,238,58,16.2788,9
82,20171103,1,4,hq,miss,high,,0,13,305,86,0,0,0,11
83,20170925,0,2,hq,miss,med,,0,19,482,92,453,75,33.6155,5
83,20171103,0,1,hq,miss,med,,0,12,17,54,0,0,0,6
84,20170925,1,2,hq,miss,low,,0,6,14,62,52,47,40.8534,5
84,20171103,0,3,hq,miss,low,,0,15,459,194,0,0,0,11
85,20170925,1,4,hq,miss,low,,0,10,376,276,328,178,109.124,5
86,20170925,0,0,fb,make,low,,0,15,235,76,242,64,13.8924,5
87,20170925,0,2,hq,miss,low,,0,15,484,48,346,39,138.293,6
88,20170925,1,2,hq,miss,low,,0,14,222,80,231,62,20.1246,7
89,20170925,1,3,hq,make,none,,0,18,19,54,131,49,112.112,6
90,20170925,0,2,hq,miss,med,,0,18,420,239,353,199,78.032,5
91,20170925,0,0,fb,miss,high,,0,20,247,78,250,70,8.544,22
92,20170925,0,0,hq,miss,med,,0,18,260,75,260,69,6,5
93,20170925,0,2,fb,miss,none,,0,22,266,79,259,70,11.4018,22
94,20170925,1,3,hq,miss,low,,0,14,130,271,145,195,77.4661,6
95,20170925,0,2,hq,miss,high,,0,19,279,76,272,71,8.60233,7
